tick,sensor_range_mean,sensor_range_std,sensor_cone_width_mean,sensor_cone_width_std,body_size_mean,body_size_std,max_lifespan_factor_mean,max_lifespan_factor_std,mutation_rate_mean,mutation_rate_std,learning_rate_mean,learning_rate_std,hunger_sensitivity_mean,hunger_sensitivity_std,fear_sensitivity_mean,fear_sensitivity_std,curiosity_sensitivity_mean,curiosity_sensitivity_std,reproduction_threshold_mean,reproduction_threshold_std,stm_capacity_mean,stm_capacity_std,ltm_capacity_mean,ltm_capacity_std
100,5.205635299287979,1.5578500884648945,1.5713395725882195,0.588827589603665,1.1204181810629457,0.4312834375994564,1.1525590383457625,0.4432163568069966,0.0874752751494737,0.06290494016701438,0.045886055692025765,0.03745492821336017,0.9457255357930181,0.5489861658039523,0.9110082557299395,0.49446479085696354,1.0052770840584555,0.5608639181485855,0.6964978721550366,0.1287267261927291,10.059440261534421,2.8700507656883905,39.96924358704569,13.742648153950242
200,5.314474898518733,1.4853674980032892,1.540784333753582,0.5959243091169024,1.1341611127373656,0.4130819305687567,1.223979278585133,0.45152374299324005,0.0801686688540898,0.06440658886784666,0.04571113599679228,0.03877903391718995,0.9972123975359589,0.6180878533837537,0.8497507975611386,0.49175516688671206,1.033861240809665,0.6010204289201491,0.7067267821303288,0.1350168768391393,9.91529984609108,3.1685024375658832,41.44118280006731,13.975997770344817
300,5.361751087733779,1.491280878748492,1.5382195419432918,0.5997857785149696,1.1233601356938565,0.4115122115559563,1.213545046720285,0.4568303154074501,0.08169768235979145,0.0643392750442209,0.04733816339340136,0.03878952489453322,1.0221350819059831,0.6377099076515509,0.8624908469363992,0.49579743320251574,1.0343064599981546,0.6188886683193591,0.7259686273001065,0.13502279267488024,9.763082476022884,3.2342596769223007,41.060440312555464,14.140914675194214
400,5.340864976592173,1.4952608965258884,1.5506363536615928,0.5922864197567735,1.1096643993216524,0.4161918300883166,1.2149691913273515,0.4677629332551272,0.08116570240345625,0.0626769684821075,0.04903563567720394,0.03866885266394493,1.0474734679174984,0.6541904481836202,0.8742931126723892,0.4901255413499075,1.0282058379266235,0.6249965103334258,0.7312551867765362,0.1346983831226603,9.718318163055004,3.3167425109672735,41.66236017236752,14.009189956917096
500,5.371565694775804,1.488484123995774,1.5491771561086443,0.580248172092142,1.0815319736296432,0.41798530525178296,1.208927300192391,0.4683301074673355,0.08231750063486246,0.06275052065600448,0.04967861639263344,0.03850054376666761,1.0496045824189373,0.6545929691784903,0.898088133009894,0.48521631480132144,1.015960511932562,0.6267350353106962,0.7383737734610077,0.13348060936915873,9.76825669020525,3.317589305972656,41.28698813898081,14.248003177909272
600,5.40457756461801,1.484682466905243,1.5385112551839057,0.5773822942038375,1.0636911067072028,0.41564981062720724,1.2119664555416736,0.46925351798621673,0.08532018248535049,0.0625255598325957,0.050043390367939276,0.038356286031623985,1.057850930282871,0.6539616179628119,0.909667409250397,0.4773652521712271,1.0058593745206452,0.6309250959088729,0.7456968186078646,0.13167700440988356,9.761646197872546,3.3299421507218616,41.10023811734511,14.407054024761015
700,5.43424812580022,1.494337225846169,1.527644408056559,0.5761653467006389,1.0580316420703517,0.4161811400383816,1.2272871863985257,0.4714354413156513,0.08618989321875373,0.06248898049315655,0.049770758417679285,0.037843295580581936,1.0653952389912125,0.6488612952443223,0.9196633800656376,0.46872209348012756,1.004538893644355,0.6384939958312377,0.7522361919440393,0.12913130050190147,9.668160620514989,3.339925286238858,40.74223499723051,14.55952139132852
800,5.510836370845745,1.5198431600747928,1.49820146646415,0.5721685353212482,1.0262083886535707,0.39866322521271236,1.2729020910569335,0.4616591451047248,0.09079787287314409,0.062119842711571095,0.04862624248594543,0.03763967892370351,1.1068803876194038,0.6447799715089099,0.9236093844941289,0.4474110919501637,0.963958174984533,0.6555858627677037,0.7633562434244412,0.1257644016212972,9.59517472843357,3.393666687156074,40.34715122015765,15.203834105273607
900,5.5854376012930915,1.495844380682954,1.4532443580698653,0.5667800718673233,1.0182439482465362,0.3882797536060757,1.2824124638249368,0.4545021541582381,0.09082481407204324,0.06252224215263953,0.04842920903902004,0.03757193228229495,1.1245112594723956,0.6564014024505244,0.9118941195930843,0.42523165218847175,0.9350332003226585,0.6614391572742546,0.7771334430109704,0.11998637244140752,9.491298459789475,3.4553760491152574,40.939058781554216,15.44190226944639
1000,5.702778648556199,1.4300511256755286,1.4069699306212,0.5384520818966402,1.0103362880398457,0.39128471638833007,1.2861898917201042,0.4420522873766381,0.09065683124840111,0.06260133737344846,0.04664007089223415,0.03747372706680421,1.1518811682785774,0.6634016513776544,0.9183382548022715,0.4115257775079801,0.8986152929139154,0.6609331271847956,0.7879058409708078,0.11575439205585154,9.479427131067888,3.507435934099528,40.84602115193275,15.960319397713915
