tick,rank,agent_id,generation,rule,accuracy,tests
400,10,786,1,"IF C10<-0.56 AND C1<0.58 THEN ENERGY_UP [acc=1.00, n=29]",1.0,29
400,11,822,1,"IF C0<-0.44 AND C5<-0.25 THEN ENERGY_UP [acc=1.00, n=310]",1.0,310
400,12,822,1,"IF C0<-0.37 AND C5<-0.25 THEN ENERGY_UP [acc=1.00, n=25]",1.0,25
400,13,822,1,"IF C0<-0.39 AND C5<-0.24 THEN ENERGY_UP [acc=1.00, n=25]",1.0,25
400,14,838,1,"IF C14>-0.40 AND C5<-0.64 AND C4>0.49 THEN ENERGY_UP [acc=1.00, n=10]",1.0,10
400,15,843,1,"IF C8>-0.23 AND hunger<0.49 THEN ENERGY_UP [acc=1.00, n=23]",1.0,23
500,1,838,1,"IF C14>-0.40 AND C5<-0.64 AND C4>0.49 THEN ENERGY_UP [acc=1.00, n=10]",1.0,10
500,2,860,1,"IF C10<0.41 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
500,3,860,1,"IF C6>0.50 THEN ENERGY_UP [acc=1.00, n=21]",1.0,21
500,4,865,1,"IF C0>-0.47 AND temp_comfort>0.17 THEN ENERGY_UP [acc=1.00, n=17]",1.0,17
500,5,867,1,"IF C1>-0.68 AND C6<0.51 AND C5<0.34 THEN ENERGY_UP [acc=1.00, n=14]",1.0,14
500,6,958,2,"IF C6>-0.40 THEN ENERGY_UP [acc=1.00, n=14]",1.0,14
500,7,993,2,"IF C15>-0.06 AND C7<0.65 AND C9<-0.23 AND C5>0.33 THEN ENERGY_UP [acc=1.00, n=10]",1.0,10
500,8,993,2,"IF C10>-0.29 AND C7<0.52 AND C9<0.06 THEN ENERGY_UP [acc=1.00, n=11]",1.0,11
500,9,1003,1,"IF C5>0.36 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
500,10,1067,1,"IF C4>0.22 AND C7<0.21 AND C7>-0.12 THEN ENERGY_UP [acc=1.00, n=182]",1.0,182
500,11,1159,2,"IF C3>-0.45 AND C10>0.32 THEN ENERGY_UP [acc=1.00, n=28]",1.0,28
500,12,1223,1,"IF energy>-0.02 THEN SAFE [acc=1.00, n=48]",1.0,48
